playerID,name,year,loc,numgames,totalwinnings,state,studentflag,lat,lon
229,Gardner Stern,1986,"Chicago, Illinois",2,25200,illinois,,41.8755546,-87.6244212
4771,Paul Marchegiani,1999,"Evanston, Illinois",1,600,illinois,TRUE,42.0447388,-87.6930459
4779,Nicole Thibodeau,1999,"Elmwood Park, Illinois",1,100,illinois,TRUE,41.9205931,-87.8160169
5814,Alan Kluegel,2009,"Urbana, Illinois",1,100,illinois,,40.1117174,-88.207301
4614,Kate Pedersen,2008,"Springfield, Illinois",1,100,illinois,,39.7989763,-89.6443688
5458,Jim Davis,2008,"Freeport, Illinois",3,91203,illinois,,42.2966861,-89.6212271
4887,Jim Austgen,1999,"Winfield, Illinois",1,1625,illinois,,41.8616956,-88.1609031
6240,John Fabros,2000,"Downers Grove, Illinois",1,11000,illinois,TRUE,41.7946074,-88.0068999
8876,Kyle Reynolds,1992,"Chicago, Illinois",1,12001,illinois,,41.8755546,-87.6244212
5256,Kate Marciniak,1993,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
8180,Jordan Villanueva,2013,"Moweaqua, Illinois",1,4799,illinois,TRUE,39.6247614,-89.0189684
3904,Michael Greer,1999,"Chicago, Illinois, now stationed at Ramstein, Germany",1,14400,illinois,,,
6744,Rachel Pildis,2010,"Oak Park, Illinois",2,24000,illinois,,41.8850317,-87.7845025
3477,Mary Mansfield,2002,"Odell, Illinois",3,0,illinois,,41.003643,-88.5253364
3658,Pam Spitzner,2007,"Chicago, Illinois",1,16400,illinois,,41.8755546,-87.6244212
2525,Maribeth Swiatek,1997,"Chicago, Illinois",2,17998,illinois,,41.8755546,-87.6244212
5069,Mari Webel,1998,"Carbondale, Illinois",1,2600,illinois,TRUE,37.7274692,-89.216655
5068,Lucas Bergman,1998,"Quincy, Illinois",1,0,illinois,TRUE,39.9356016,-91.4098727
927,Oscar Avila,2005,"Chicago, Illinois",1,2400,illinois,,41.8755546,-87.6244212
786,Bernie Cullen,1996,"Chicago, Illinois",7,100800,illinois,,41.8755546,-87.6244212
7156,Anthony Fox,2011,"Arlington Heights, Illinois",5,79000,illinois,,42.0812678,-87.9800662
2136,Sandy Andina,1996,"Chicago, Illinois",1,1599,illinois,,41.8755546,-87.6244212
4798,Jacob Gold,2008,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
4891,Tom Crawford,1999,"Chicago, Illinois",2,12000,illinois,,41.8755546,-87.6244212
6263,Anastasia Knasiak,2000,"Brookfield, Illinois",1,8200,illinois,TRUE,41.8228378,-87.848085
